proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),graph-blind ci_lo,graph-blind ci_hi,has graph,has graph (n),has graph ci_lo,has graph ci_hi,uses A,uses A (n),uses A ci_lo,uses A ci_hi,gcn (incl. mixed),gcn (incl. mixed) (n),gcn (incl. mixed) ci_lo,gcn (incl. mixed) ci_hi,diffusion (incl. mixed),diffusion (incl. mixed) (n),diffusion (incl. mixed) ci_lo,diffusion (incl. mixed) ci_hi,head=mse,head=mse (n),head=mse ci_lo,head=mse ci_hi,head=mae,head=mae (n),head=mae ci_lo,head=mae ci_hi,head=quantile,head=quantile (n),head=quantile ci_lo,head=quantile ci_hi
grasp_all,50,0.4347178871548619,0.15282441430359142,0.6432340085958396,0.2751020408163265,0.001606897151620192,0.41704681872749094,0.24047561659033673,0.5794117647058823,16,0.09256381219849161,0.8308667985492911,0.387318563789152,34,-0.006225164892866084,0.6656143078713362,0.3262178434592227,28,-0.11529393087064531,0.6481440020295494,0.39122807017543854,19,-0.22340425531914895,0.7218777679362267,0.37538461538461537,25,-0.07512798494584778,0.6867027644142528,0.28120300751879695,20,-0.1633068869157382,0.6130612472886042,0.2175824175824176,14,-0.2962861418230989,0.7047144654841803,0.0823529411764706,16,-0.42650127839578067,0.5673676047473466
nwot,50,0.05421368547418968,-0.24574672258109592,0.33672839409595146,0.04326530612244898,0.7084579863949819,0.04432172869147659,0.0014999195949080746,-0.22647058823529412,16,-0.6637024121867637,0.36161142028672266,0.08815889992360579,34,-0.29502051868653034,0.45941090794587114,0.05363984674329502,28,-0.3576963968749006,0.4207005095695721,0.22456140350877193,19,-0.2703672592441856,0.6387980624752866,0.11538461538461539,25,-0.30027829659561583,0.5336439943855462,-0.12781954887218044,20,-0.6027525703138001,0.37576938958089606,0.0945054945054945,14,-0.50893262987013,0.7272980360396841,-0.27941176470588236,16,-0.7041614123581336,0.3244676616915421
flops,50,0.020984393757503002,-0.256274889036801,0.3139074239836119,0.022040816326530613,0.8849912355548428,,0.0,-0.2911764705882353,16,-0.7156959854436742,0.2730377784667166,-0.009014514896867836,34,-0.36892038656235615,0.34052360654302266,-0.04324028461959496,28,-0.41107489790550744,0.3131424296824622,0.13157894736842105,19,-0.3639972423141192,0.5722399631789473,0.04923076923076923,25,-0.3667605374527104,0.4540352572551911,-0.13383458646616542,20,-0.5953928024502297,0.35457752370329043,0.1032967032967033,14,-0.5312570382882884,0.8214457417582417,-0.3588235294117647,16,-0.7563240461902725,0.2024635822698066
l2_norm_all,50,0.00024009603841536613,-0.3039401559700562,0.28550286795280505,0.008979591836734694,0.9986796663385688,0.06996398559423768,0.0006761741601191717,-0.29411764705882354,16,-0.7448292745519132,0.25309738929103615,0.08388082505729565,34,-0.2874698154513964,0.44054661532396944,0.030103995621236997,28,-0.39389269502901153,0.4335382688150913,0.2631578947368421,19,-0.27923013508113365,0.7030019909114444,0.014615384615384615,25,-0.39787922085425803,0.4350009005494248,-0.024060150375939848,20,-0.5023608730470944,0.49699747626404556,0.002197802197802198,14,-0.5334259259259259,0.5702094991128699,0.34705882352941175,16,-0.24392428103385505,0.8166016073478758
params,50,-0.037695078031212484,-0.32330353468000406,0.25520157257587966,-0.017142857142857144,0.7949446802314589,,0.0,-0.2323529411764706,16,-0.688072922619728,0.34536790153382046,0.06829640947288004,34,-0.27365266081763145,0.41876425769132575,0.09140667761357417,28,-0.3294937420135991,0.4873893825435462,0.22982456140350876,19,-0.3243572987361808,0.6953917463595466,0.08846153846153845,25,-0.3306113505146013,0.4934695109710119,-0.26165413533834586,20,-0.6290759017889761,0.21125423889559702,-0.2087912087912088,14,-0.6764444954011567,0.40272500982575654,0.28823529411764703,16,-0.2875,0.7337428243398391
jacov,50,-0.045954381752701084,-0.31353189036849793,0.2296075760251358,-0.03183673469387755,0.7513231301724005,-0.04969987995198079,0.35929022445572284,0.22941176470588234,16,-0.22878025555135342,0.6055194168299483,-0.02215431627196333,34,-0.3917639963680831,0.38085277720421223,0.09195402298850575,28,-0.32787352809355014,0.486678493765018,0.16842105263157894,19,-0.355217087936465,0.646125863261304,0.10384615384615385,25,-0.3336551383576113,0.5439952816123607,-0.1894736842105263,20,-0.5860957566567878,0.2642020976139381,-0.16483516483516483,14,-0.7376154049063572,0.4488007952326714,0.2441176470588235,16,-0.35145515477555345,0.7232142857142857
zen,50,-0.04768307322929172,-0.35853703453323943,0.26289564800200305,-0.03183673469387755,0.7422846631765019,-0.018487394957983194,0.0010998147679489052,-0.2058823529411765,16,-0.7067083333333334,0.37520595723188016,0.07165775401069518,34,-0.27365129258013643,0.4189799825816907,0.03886152162014231,28,-0.3772802424910444,0.43284728516576854,0.12982456140350876,19,-0.38081365686091206,0.6366955251407801,0.03,25,-0.36603481624758216,0.4348998472641628,-0.1969924812030075,20,-0.5698376459094577,0.2390445689501446,-0.2175824175824176,14,-0.7027525847995645,0.31855709316583625,0.35000000000000003,16,-0.23222384343542518,0.7679720915312226
zico,50,-0.08801920768307324,-0.3635147251662706,0.19635598291982242,-0.0563265306122449,0.5433006702649569,-0.07063625450180072,0.006449674349283816,-0.10882352941176471,16,-0.5816268791046239,0.3908232198307692,-0.012375859434682963,34,-0.3794606244441864,0.3719489200906579,-0.05309250136836344,28,-0.4666823996841339,0.37058041573282086,0.08596491228070174,19,-0.4556822739600443,0.6216263555501398,-0.09538461538461537,25,-0.5052614378839679,0.369377733287555,-0.03609022556390977,20,-0.5228306733762477,0.4768556285286321,-0.1824175824175824,14,-0.6486683874886121,0.40547206399224295,0.3058823529411765,16,-0.23919332608720012,0.7552346862970217
synflow_all,50,-0.230828331332533,-0.4823768222582829,0.048975866650683875,-0.17387755102040817,0.10679156606568174,-0.19731092436974787,0.036210699773881916,-0.28529411764705886,16,-0.7928506488139517,0.30962375291870037,-0.22658517952635596,34,-0.5442090001891671,0.14056356240269238,-0.052545155993431854,28,-0.4254874840121759,0.3303820930873575,0.05087719298245614,19,-0.4322782769745585,0.5252878653675817,0.004615384615384616,25,-0.4241489055351162,0.43314257307915294,-0.07218045112781954,20,-0.48580181030826325,0.3823002029878983,0.14725274725274726,14,-0.4697517054574638,0.6486546546546545,0.023529411764705882,16,-0.6137331779875294,0.5655084251801609
snip_all,50,-0.3890996398559423,-0.6228808476501086,-0.0828739362971755,-0.2620408163265306,0.005226298462322721,-0.3946698679471788,0.053788860149056206,-0.5617647058823529,16,-0.8516430214387303,-0.026948366276724915,-0.31764705882352934,34,-0.6287069820710753,0.09340794960133271,-0.25615763546798026,28,-0.6084135048843012,0.18552343766650709,-0.2824561403508772,19,-0.6912543610018208,0.30499348675640453,-0.30153846153846153,25,-0.6525002524217552,0.1532319628913961,-0.38345864661654133,20,-0.7061363636363637,0.020439836111017046,-0.13406593406593406,14,-0.6902489932476408,0.4125694662361194,0.0823529411764706,16,-0.44215716012748657,0.5111955326094669
