proxy,spearman,rho_with_log_params,partial_params,partial_flops,rho_test_mae,rho_val_mse,tercile_small,tercile_small_n,tercile_mid,tercile_mid_n,tercile_large,tercile_large_n
grasp_all,0.4347178871548619,-0.1570708283313325,0.41704681872749094,0.43932773109243695,0.43231692677070827,-0.06439375750300119,0.47794117647058826,17,0.5088235294117647,16,0.31617647058823534,17
nwot,0.05421368547418968,0.3655702280912365,0.04432172869147659,-0.004369747899159664,0.017623049219687877,-0.1051140456182473,-0.2720588235294118,17,-0.0411764705882353,16,0.303921568627451,17
flops,0.020984393757503002,0.1481392557022809,0.009651860744297719,,0.008115246098439374,-0.14266506602641055,-0.11764705882352941,17,-0.07058823529411765,16,0.16421568627450983,17
l2_norm_all,0.00024009603841536613,0.8578631452581031,0.06996398559423768,0.008019207683073229,-0.05459783913565427,-0.15207683073229292,-0.33333333333333337,17,-0.24705882352941175,16,0.11519607843137256,17
params,-0.037695078031212484,0.9999999999999999,,-0.03481392557022809,-0.020984393757503002,-0.21056422569027608,-0.09068627450980393,17,-0.4294117647058823,16,-0.232843137254902,17
jacov,-0.045954381752701084,0.06641056422569028,-0.04969987995198079,-0.010900360144057623,-0.03202881152460984,-0.06785114045618247,0.007352941176470588,17,0.1323529411764706,16,-0.31127450980392163,17
zen,-0.04768307322929172,0.8903241296518607,-0.018487394957983194,-0.045954381752701084,-0.018487394957983194,-0.1300840336134454,-0.34558823529411764,17,-0.15294117647058825,16,0.09558823529411767,17
zico,-0.08801920768307324,0.7713325330132053,-0.07063625450180072,-0.085906362545018,-0.1241296518607443,-0.2231452581032413,-0.32352941176470595,17,-0.12352941176470587,16,-0.31127450980392163,17
synflow_all,-0.230828331332533,0.16456182472989198,-0.19731092436974787,-0.26424969987995195,-0.23476590636254502,-0.015702280912364946,-0.13480392156862747,17,-0.37941176470588234,16,-0.15441176470588236,17
snip_all,-0.3890996398559423,0.31476590636254503,-0.3946698679471788,-0.38967587034813916,-0.3944777911164466,0.03135654261704682,-0.44852941176470595,17,-0.4911764705882353,16,-0.27696078431372556,17
grad_norm_all,-0.4412484993997599,0.3376230492196879,-0.4351980792316926,-0.43596638655462183,-0.43846338535414164,0.005810324129651861,-0.47058823529411764,17,-0.4941176470588235,16,-0.34068627450980393,17
plain_all,-0.4526770708283313,0.24849939975990393,-0.4575750300120048,-0.4516206482593037,-0.4192557022809123,0.08504201680672267,-0.5392156862745099,17,-0.4823529411764706,16,-0.4387254901960785,17
fisher,-0.5477551020408163,0.26511404561824725,-0.5532292917166867,-0.5477551020408163,-0.5237454981992796,0.05008403361344538,-0.6323529411764707,17,-0.5205882352941177,16,-0.6593137254901962,17
