proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),has graph,has graph (n),uses A,uses A (n),gcn (incl. mixed),gcn (incl. mixed) (n),diffusion (incl. mixed),diffusion (incl. mixed) (n),head=mse,head=mse (n),head=mae,head=mae (n),head=quantile,head=quantile (n)
zico,50,0.71015606242497,0.5225206645240011,0.8217533891606893,0.506938775510204,7.661863157405258e-09,0.5604321728691476,0.006461112384228761,0.8470588235294119,16,0.6241405653170359,34,0.5270935960591133,28,0.5210526315789473,19,0.5584615384615385,25,0.8285714285714285,20,0.5516483516483517,14,0.7941176470588236,16
l2_norm_all,50,0.5931812725090035,0.344277601623591,0.7601303953433883,0.4204081632653061,5.63730658722383e-06,0.3663385354141656,0.0006163815283413839,0.7588235294117647,16,0.5721925133689839,34,0.45922276956759717,28,0.47543859649122805,19,0.5107692307692308,25,0.706766917293233,20,0.5340659340659341,14,0.5764705882352941,16
params,50,0.5072268907563025,0.26595473156187366,0.6831387831286853,0.34040816326530615,0.00017036329956275975,,0.0,0.4911764705882353,16,0.4783804430863254,34,0.43349753694581283,28,0.4403508771929824,19,0.4323076923076923,25,0.5924812030075187,20,0.3274725274725274,14,0.6735294117647058,16
grasp_all,50,0.3048739495798319,0.016054939508145745,0.5592709613059911,0.21959183673469387,0.03133443758720933,0.467563025210084,0.18500606493459598,0.3323529411764706,16,0.2987012987012987,34,0.3295019157088122,28,0.356140350877193,19,0.33615384615384614,25,0.4451127819548871,20,0.6527472527472528,14,-0.055882352941176466,16
zen,50,0.3020888355342137,0.009367848016272894,0.544760717278354,0.21632653061224488,0.032994140530813586,-0.2869147659063625,0.0012908746103711907,0.13529411764705881,16,0.32161955691367455,34,0.2681992337164751,28,0.3385964912280702,19,0.23384615384615384,25,0.16992481203007515,20,0.3142857142857143,14,0.6882352941176471,16
nwot,50,0.026074429771908762,-0.2734951485540309,0.30799825519267937,0.008979591836734694,0.8573557532345867,-0.22180072028811523,0.0012105380798350276,0.27941176470588236,16,0.025210084033613443,34,0.0180623973727422,28,0.1754385964912281,19,-0.02923076923076923,25,-0.0631578947368421,20,0.2087912087912088,14,-0.11470588235294117,16
flops,50,-0.03404561824729892,-0.3419199032715846,0.25208830431894963,-0.04,0.8144277037768815,,0.0,0.4088235294117647,16,-0.13063407181054237,34,-0.17569786535303775,28,0.07543859649122807,19,-0.24230769230769234,25,-0.04060150375939849,20,0.2351648351648352,14,-0.29411764705882354,16
synflow_all,50,-0.10415366146458584,-0.4152965911852019,0.20455023935341266,-0.08081632653061226,0.47164123322070106,-0.10837935174069627,0.02141648177638357,0.2588235294117647,16,-0.3246753246753246,34,-0.22495894909688013,28,0.056140350877192984,19,-0.3230769230769231,25,-0.33233082706766914,20,0.07692307692307693,14,0.049999999999999996,16
jacov,50,-0.14660264105642254,-0.39880902102273147,0.15056750979431555,-0.10530612244897959,0.309667568589861,-0.24369747899159666,0.1977631873505815,-0.11176470588235293,16,-0.37876241405653166,34,-0.29939792008757526,28,-0.3192982456140351,19,-0.2230769230769231,25,-0.10676691729323308,20,-0.6307692307692307,14,0.36470588235294116,16
plain_all,50,-0.15294117647058825,-0.41535443766324015,0.14591436829280788,-0.11673469387755102,0.28898176272443465,-0.2777911164465786,0.27528773946383067,-0.08823529411764705,16,-0.25225362872421697,34,-0.2523262178434592,28,-0.09649122807017543,19,-0.27307692307692305,25,-0.29172932330827067,20,-0.3054945054945055,14,0.15882352941176472,16
fisher,50,-0.26280912364945974,-0.5316389828423148,0.026386877260918495,-0.20326530612244897,0.0651978549797546,-0.46295318127250895,0.1519352868193656,-0.2676470588235294,16,-0.30053475935828877,34,-0.32457580733442803,28,-0.27543859649122804,19,-0.34307692307692306,25,-0.38496240601503756,20,-0.6879120879120879,14,0.21176470588235297,16
grad_norm_all,50,-0.2772148859543817,-0.5352825702287978,0.00823996199414838,-0.2146938775510204,0.05129401809318726,-0.5064585834333732,0.057715892975385444,-0.2735294117647059,16,-0.32742551566080974,34,-0.3284072249589491,28,-0.30526315789473685,19,-0.31846153846153846,25,-0.3984962406015037,20,-0.6879120879120879,14,0.13529411764705881,16
snip_all,50,-0.2901800720288115,-0.5457656328501986,-0.008060034891084167,-0.22122448979591836,0.040933724138837814,-0.5169267707082833,0.05907408380702421,-0.3235294117647059,16,-0.31673032849503435,34,-0.3147235905856595,28,-0.29473684210526313,19,-0.33076923076923076,25,-0.4120300751879699,20,-0.7098901098901099,14,0.10588235294117648,16
