proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),graph-blind ci_lo,graph-blind ci_hi,has graph,has graph (n),has graph ci_lo,has graph ci_hi,uses A,uses A (n),uses A ci_lo,uses A ci_hi,gcn (incl. mixed),gcn (incl. mixed) (n),gcn (incl. mixed) ci_lo,gcn (incl. mixed) ci_hi,diffusion (incl. mixed),diffusion (incl. mixed) (n),diffusion (incl. mixed) ci_lo,diffusion (incl. mixed) ci_hi,head=mse,head=mse (n),head=mse ci_lo,head=mse ci_hi,head=mae,head=mae (n),head=mae ci_lo,head=mae ci_hi,head=quantile,head=quantile (n),head=quantile ci_lo,head=quantile ci_hi
grasp_all,150,0.4701595626472288,0.3154821271716232,0.5971912158889603,0.3208053691275168,1.2760521974993675e-09,0.502729899106627,0.20673816653727972,0.23534520191055144,48,-0.10529509320433857,0.524718470554168,0.5543819373370804,102,0.38659884858876287,0.6816636781275199,0.4857547838412474,84,0.2800895522843912,0.6428637128261144,0.4236263736263736,64,0.15363790426001264,0.6313437036222602,0.5739901889155621,66,0.3813068772485884,0.7105760373508209,0.12806324110671935,45,-0.18877451140441806,0.4181622698408387,0.14473823373876255,61,-0.12853633002324183,0.4121835773747037,0.03255813953488372,44,-0.27219002708210605,0.3254488166684683
zico,150,0.31611538290590696,0.15284067872361295,0.4622732190060719,0.21682326621923936,8.12242290265922e-05,0.3494395306458065,0.006121390006211399,0.3131784628745115,48,0.011753769823064083,0.5852051781730857,0.3064896438244624,102,0.12785963725067012,0.4708340623645187,0.3412169687151969,84,0.14092278675346087,0.5201168716228968,0.2837912087912088,64,0.027863358042636448,0.5092503036831609,0.34958772570712876,66,0.10531745859919925,0.5465145006303206,0.2824769433465085,45,-0.0044564038654098205,0.5345648427792579,0.7024854574299312,61,0.5393723133081073,0.8153028007987707,0.5875968992248062,44,0.366648418627948,0.7370746576543473
l2_norm_all,150,0.25269211964976224,0.08994572637968637,0.40946778898612474,0.17512304250559282,0.001810141140099612,0.2976790079559091,0.0006407389105314446,0.1405775075987842,48,-0.19084400533608797,0.4499742529804487,0.25704689258189095,102,0.06720013574427358,0.43349019444037773,0.3604130808950086,84,0.16265788909772905,0.5343991086065292,0.3123626373626373,64,0.06559471841557195,0.5288838118611608,0.32232543575827166,66,0.09141782467871695,0.5186518500364288,0.09749670619235837,45,-0.17316868578503114,0.3704604498894429,0.6089370703331569,61,0.40632458793801396,0.7687491349829525,0.47766032417195203,44,0.22153517435195672,0.6750716877790295
params,150,0.10004177963465044,-0.06496376902285478,0.2769971963733704,0.06774049217002237,0.22319924987201886,,0.0,0.006513243595310464,48,-0.3112995271482146,0.31261415403418036,0.13424295028017935,102,-0.07088726924331029,0.32687847847757495,0.24355573554723098,84,0.020622022381076608,0.4466929158452933,0.31868131868131866,64,0.0569036416415915,0.5418923873688067,0.20705563093622795,66,-0.037993725781387835,0.4340965992677582,0.07391304347826086,45,-0.2107229746935419,0.36498751921890943,0.3491274457958751,61,0.05741693835401068,0.5927955346995745,0.24059196617336148,44,-0.039587649228921266,0.4750573000661234
nwot,150,0.053092137428330154,-0.10516242394506982,0.21952605000658587,0.03731543624161074,0.5187593819024892,0.012603226810080448,0.0013699849716062949,-0.030829353017802867,48,-0.3521054432178081,0.2739569534380959,-0.025303786803580416,102,-0.21804743707502713,0.1918700240144296,0.01360737065910702,84,-0.21216897461561182,0.24683175319540782,-0.060714285714285714,64,-0.3175503197666906,0.2152011526722593,-0.05684166579688969,66,-0.2866419682488177,0.20219068259530212,-0.1797101449275362,45,-0.45582751781926606,0.12904780609874716,0.27340031729243786,61,0.020746147230661833,0.5256411953098119,0.34207188160676527,44,0.04490804127463431,0.5956813323973593
zen,150,0.004101515622916574,-0.15446487359272074,0.1700862717189072,0.002953020134228188,0.9602713378156923,-0.13663007244766437,0.001364282341015623,-0.10855405992184107,48,-0.40656357014730654,0.18179885850115846,0.051732814629264184,102,-0.15767146833710968,0.24548770125440833,0.14830414093348185,84,-0.07555523681330963,0.3504101816614976,0.2521978021978022,64,-0.0023887508707849782,0.4847294169847992,0.1181296315624674,66,-0.13416891167736145,0.35298666598567024,-0.0764163372859025,45,-0.36176112637825353,0.22477113954453254,0.16234796404019033,61,-0.09879397833807485,0.4195465369341882,0.13417899929527835,44,-0.13354581239862326,0.3854701530744729
flops,150,9.778212364993998e-05,-0.16503904543290243,0.16225507215659327,-0.0009843400447427293,0.9990524618966086,,0.0,-0.06437255753365176,48,-0.3786319104603074,0.2515683662084768,-0.15094627680929143,102,-0.34794332049832943,0.049224057550304685,-0.22518983497013265,84,-0.43178227687253273,0.004188787208665419,-0.23827838827838824,64,-0.4680098693773492,0.006154529349961549,-0.13282538357165224,66,-0.36518094175115917,0.11018306015893312,-0.10289855072463767,45,-0.3837635479770512,0.20677106013986096,0.2526705446853516,61,-0.011005463623906893,0.5101795826606461,0.27695560253699786,44,-0.05009077667846508,0.5544475603808642
synflow_all,150,-0.009342637450553358,-0.18121130116945033,0.16873839255416406,0.0034899328859060398,0.9096589440445895,-0.010185341570736478,0.027648853167807998,0.23523664785062962,48,-0.09742468454924087,0.5268474805438664,-0.12360122362893058,102,-0.3193985888637653,0.08004056105838131,-0.26271134960008097,84,-0.4596809427220317,-0.04249757302070194,-0.3694139194139194,64,-0.5637283263078345,-0.1322328625043799,-0.20112723097797724,66,-0.42969945898053163,0.04987717152118992,-0.2761528326745718,45,-0.5357613263899556,0.028515852265016014,0.30777366472765727,61,0.04495552098991414,0.5444624626419745,0.07878787878787878,44,-0.22436307762229674,0.3862112292685227
jacov,150,-0.09901773412151652,-0.2545494026159981,0.06676337978766875,-0.06684563758389261,0.22799693323075879,-0.12016000711142717,0.35005120714818805,-0.11474164133738603,48,-0.3859576849070969,0.17120959613822767,0.008623078184460365,102,-0.19033463779166526,0.20906004684927065,0.11396172927002127,84,-0.09190433429777353,0.31954687189718156,0.15938644688644688,64,-0.08621999246160142,0.3923905677621945,0.13219914413944267,66,-0.11334992818062284,0.35701791789419435,0.12081686429512514,45,-0.18169603871748896,0.41157389241784437,-0.37884717080909563,61,-0.5853722710934642,-0.1384715163066499,-0.22255109231853415,44,-0.512912107306742,0.1154137813805523
snip_all,150,-0.36227921240944044,-0.49805489184344615,-0.20213094250564,-0.24510067114093959,5.2235040115149455e-06,-0.438055024667763,0.06381466297232483,-0.21081198436821533,48,-0.5066869631401544,0.11414022435087887,-0.4172043132354355,102,-0.5671852261153423,-0.23180574773011542,-0.3102156525260707,84,-0.5045019392755835,-0.08300288956191698,-0.2090201465201465,64,-0.4484828244157493,0.07674161108819941,-0.37718401001983093,66,-0.5718275524855307,-0.1358607738374357,-0.029644268774703556,45,-0.30492250000416093,0.26136423929046276,-0.1005288207297726,61,-0.36854120360050463,0.1703662274452762,0.1252995066948555,44,-0.163539581301439,0.40652579231908076
