proxy,spearman,rho_with_log_params,partial_params,partial_flops,rho_test_mae,rho_val_mse,tercile_small,tercile_small_n,tercile_mid,tercile_mid_n,tercile_large,tercile_large_n
grasp_all,0.4701595626472288,-0.19339348415485133,0.502729899106627,0.47421307613671715,0.42476732299213305,0.3851353393484155,0.3404081632653061,50,0.642641056422569,50,0.507515006002401,50
zico,0.31611538290590696,0.6834241521845416,0.3494395306458065,0.33111693853060137,0.2958655940264012,0.17898928841281836,0.32072028811524605,50,0.32168067226890756,50,0.3765186074429772,50
l2_norm_all,0.25269211964976224,0.7680501355615805,0.2976790079559091,0.2660580470243122,0.2597395439797325,0.070543579714654,0.2719327731092437,50,0.2866266506602641,50,0.335126050420168,50
params,0.10004177963465044,1.0,,0.10113693941952977,0.06341437397217654,0.05235610471576515,0.027322929171668665,50,0.18732292917166865,50,-0.009555822328931571,50
nwot,0.053092137428330154,0.3656535846037602,0.012603226810080448,0.10331303613493933,0.13217120760922707,-0.10904840215120673,-0.05815126050420167,50,0.09003601440576231,50,0.05527010804321728,50
zen,0.004101515622916574,0.8633254811324947,-0.13663007244766437,0.007554113516156273,-0.016237166096270947,-0.01651451175607805,-0.1607202881152461,50,-0.07054021608643457,50,-0.006962785114045618,50
flops,9.778212364993998e-05,0.2121107604782435,-0.029290190675141117,,0.07737766122938798,-0.1239717320769812,-0.1363265306122449,50,0.12758703481392558,50,-0.01205282112845138,50
synflow_all,-0.009342637450553358,0.022022312102760126,-0.010185341570736478,-0.0011644961998311036,0.010028890172896574,-0.06568291924085515,0.1011764705882353,50,-0.05114045618247299,50,-0.09186074429771908,50
jacov,-0.09901773412151652,0.16050313347259879,-0.12016000711142717,-0.10891684074847773,-0.17987821680963598,-0.026698075470020892,-0.05978391356542617,50,-0.20739495798319327,50,-0.10156062424969987,50
snip_all,-0.36227921240944044,0.3851353393484155,-0.438055024667763,-0.36227921240944044,-0.3425165562913908,-0.3051495622027646,-0.23745498199279708,50,-0.5663865546218487,50,-0.46400960384153656,50
grad_norm_all,-0.3969474198853283,0.35459175963376155,-0.466337170540913,-0.3974807769234188,-0.37071692075203344,-0.3372007644784213,-0.2925810324129652,50,-0.6073949579831932,50,-0.45891956782713084,50
fisher,-0.44379394639761766,0.195320680919152,-0.47259878216809637,-0.44379394639761766,-0.4185448242144095,-0.3688110582692564,-0.3563505402160864,50,-0.607875150060024,50,-0.4520048019207683,50
plain_all,-0.46786257166985207,0.1335117116316281,-0.4848019911996089,-0.46790168451931197,-0.44482154762433884,-0.41470820925374463,-0.3520288115246098,50,-0.636686674669868,50,-0.45085234093637455,50
