proxy,n,spearman,ci_lo,ci_hi,kendall,p,partial_params,seed_cv,graph-blind,graph-blind (n),graph-blind ci_lo,graph-blind ci_hi,has graph,has graph (n),has graph ci_lo,has graph ci_hi,uses A,uses A (n),uses A ci_lo,uses A ci_hi,gcn (incl. mixed),gcn (incl. mixed) (n),gcn (incl. mixed) ci_lo,gcn (incl. mixed) ci_hi,diffusion (incl. mixed),diffusion (incl. mixed) (n),diffusion (incl. mixed) ci_lo,diffusion (incl. mixed) ci_hi,head=mse,head=mse (n),head=mse ci_lo,head=mse ci_hi,head=mae,head=mae (n),head=mae ci_lo,head=mae ci_hi,head=quantile,head=quantile (n),head=quantile ci_lo,head=quantile ci_hi
zico,300,0.5704507827864753,0.48003139725504357,0.6499099892852174,0.39790412486064664,2.7030263908023094e-27,0.6250211669018544,0.006194847238716597,0.4867471513836137,96,0.30155975215303205,0.6388108024676831,0.6199730018163699,204,0.5127224814360826,0.7032072791783711,0.5788161631091158,168,0.45082027101712935,0.6809843444263011,0.5596129032258064,125,0.4053566600214684,0.6888281982703038,0.6093363866227756,136,0.4780360112937484,0.7194188446620974,0.7486703772418057,99,0.6462864616556724,0.8167844828613572,0.6009668025626091,101,0.4253217044621729,0.7325523088065676,0.47079507950795074,100,0.27473369789503793,0.6234737540402563
l2_norm_all,300,0.5034527050300559,0.4082513837532048,0.589284971661746,0.34880713489409143,1.1037038968188711e-20,0.5505154501716686,0.0006154981633087141,0.348290830168204,96,0.14734279523557806,0.5173667868511554,0.516206684524104,204,0.4034567986994443,0.6113752683214183,0.4758859289029718,168,0.3449046847211846,0.5867103861759191,0.4416589861751152,125,0.2798300836750447,0.5842526135647671,0.5234960164114307,136,0.3825830042913858,0.6468329784793996,0.6671243042671614,99,0.5385440616438922,0.7662001898556794,0.5731391962725684,101,0.41538297521312806,0.6915392451282124,0.41562556255625566,100,0.21097210525496263,0.578705830433509
nwot,300,0.3389317659085101,0.24045112310533104,0.43008472384656776,0.22733556298773694,1.6886561291294091e-09,0.2819235769286325,0.001406238558453333,-0.019669017905588716,96,-0.22620992982674376,0.18287293152921005,0.0891816440621665,204,-0.04494494547969979,0.21469852441833573,0.10087517273146018,168,-0.04991987978372842,0.24158472967548356,0.12741628264208907,125,-0.047441745148221734,0.28621736084811944,0.10964648633175895,136,-0.06265206102582001,0.28109373111090613,0.31495361781076064,99,0.1283432732402034,0.49061410000122035,0.47077460687245193,101,0.30929320259618326,0.6102702235678692,0.2639183918391839,100,0.054851839400633956,0.4433753246094219
flops,300,0.3115599062211802,0.2062007619646758,0.40693042761011744,0.20958751393534003,3.555127096930288e-08,,0.0,0.012601736299511666,96,-0.18593880649523617,0.20446275111027648,-0.016731806263295897,204,-0.1593800394616399,0.11750328298787653,-0.02163888621742146,168,-0.16934119317097082,0.13623629479420218,0.04441781874039938,125,-0.136739865066745,0.22002214046105317,-0.08190448928963312,136,-0.2341374000464804,0.08683453272984813,0.22346320346320345,99,0.011739431696558382,0.4169195814480275,0.4327548048922539,101,0.25647893964314333,0.5839142138013003,0.2802400240024002,100,0.09196022935218426,0.45285422370819867
params,300,0.1933314814609051,0.07811171285791545,0.3056901554197602,0.13110367892976588,0.0007614627963968678,,0.0,0.11907216494845359,96,-0.07986366325614415,0.30282049958095747,0.2957898382229258,204,0.16081365045932036,0.42317098662596614,0.25060614190047636,168,0.09809533876768203,0.39166472985545603,0.21922580645161288,125,0.02507601410016817,0.39351870592224913,0.30206097037355084,136,0.1435061947014491,0.4587136981639149,0.4169202226345083,99,0.26170586058189393,0.550974573102693,0.17817122888759465,101,-0.026379838877534312,0.3586897591399334,0.15138313831383138,100,-0.07320784742426494,0.3580216960952221
synflow_all,300,0.1890216557961755,0.07600132746788235,0.3017308310380748,0.12651059085841695,0.0010019053521511975,0.1923608040089334,0.027085895126270146,0.1468665219750407,96,-0.04961002667272438,0.3450647114942523,0.019117823748506974,204,-0.12648220888904466,0.16145115005911287,0.03606987209013925,168,-0.1113943179109328,0.1834743385206407,0.08299231950844853,125,-0.1063621025102201,0.26365325646109866,0.01848194265540766,136,-0.15705410228758485,0.198402149426444,0.12487322201607916,99,-0.06548776795600458,0.31680077286952,0.2541409435061153,101,0.06644805454829825,0.4352388311036997,0.2891449144914491,100,0.10582278773767986,0.4559044677250052
grasp_all,300,0.17206368959655108,0.05761399819774321,0.2776556446253172,0.1139799331103679,0.0027886716428390285,0.1990004333381482,0.20847407675373986,0.08228431904503528,96,-0.13575968242932146,0.2982076383690769,0.1553879752069036,204,0.013630642039521464,0.28553039161158317,0.19910812356689836,168,0.04525188149417097,0.32915114842474924,0.10430721966205836,125,-0.06840974629176957,0.2737091938460432,0.2364391011879204,136,0.06904943368977048,0.3870967409612141,0.0799134199134199,99,-0.12636154404790573,0.2916610026890501,0.2519860221316249,101,0.05729106255188758,0.4375069641364488,0.10885088508850883,100,-0.10240518765252019,0.31507914233595025
zen,300,0.11757997311081235,0.004296129994258704,0.23695666898980122,0.08,0.04184007088816191,-0.1539230435893732,0.00156682233453956,0.007731958762886598,96,-0.19268734879702135,0.20821023841641362,0.20394230021697493,204,0.055309205920370176,0.3383246255393675,0.15758423980441486,168,-0.0009120187077271631,0.30444401977930813,0.10815975422427035,125,-0.09281504038903045,0.2880450620231543,0.20989933686369924,136,0.03773125797792932,0.3730708460157061,0.32812615955473096,99,0.15566095257147844,0.4798483416932862,0.10123471170646475,101,-0.11316299611598574,0.3005641456769808,0.03621962196219622,100,-0.18893990345998707,0.25605736894284487
fisher,300,-0.08468405204502272,-0.19164422498492406,0.02657870261346636,-0.05346711259754738,0.1433915479822136,-0.11299769997444414,0.13057697774611154,0.03354584915897992,96,-0.17762838095566597,0.24151187686479814,-0.07841629502936581,204,-0.21065441834525947,0.06296357726378449,-0.10462085128137641,168,-0.23693089760047192,0.04854548335329715,-0.010433179723502302,125,-0.17356235908045062,0.1583715671663809,-0.13572348647488192,136,-0.2900199525193343,0.02907817656838796,0.054669140383426094,99,-0.16229840519762131,0.25803605646711125,-0.142970297029703,101,-0.3501589176203812,0.07579879930867706,0.0506090609060906,100,-0.1799965185238541,0.25840892798066567
plain_all,300,-0.09186679851998356,-0.20117330606762232,0.02250326526848079,-0.056276477146042364,0.11230975628285707,-0.11398793319925776,0.4891846486961605,0.07333152468800869,96,-0.15748666094501582,0.28628452368733154,-0.08774692383261126,204,-0.21898549832755435,0.054402152228875116,-0.1304331320452924,168,-0.26202398609291416,0.02061084938794277,-0.04844239631336405,125,-0.21772679459205266,0.12543349745085067,-0.13095749248604552,136,-0.28960473335901354,0.029503529266739922,0.08072974644403215,99,-0.11900235097336294,0.27776740956928075,-0.03613278974956319,101,-0.24436381327491377,0.17138138321738255,0.15751575157515751,100,-0.05158435691277939,0.34747342424740746
