proxy,N,median,p5,p95,frac_positive,frac_above_0.4
zico,10,0.6121212121212121,0.1993939393939394,0.8545454545454544,0.994,0.832
zico,20,0.6496240601503759,0.4490225563909775,0.78796992481203,1.0,0.964
zico,30,0.6491657397107897,0.5234260289210234,0.748186874304783,1.0,0.998
zico,40,0.6535647279549719,0.5748123827392121,0.7199437148217637,1.0,1.0
zico,50,0.6520528211284513,0.6520528211284513,0.6520528211284513,1.0,1.0
l2_norm_all,10,0.6242424242424242,0.21151515151515152,0.8787878787878788,0.986,0.834
l2_norm_all,20,0.6240601503759398,0.41172932330827067,0.7760150375939848,1.0,0.954
l2_norm_all,30,0.6344827586206896,0.48602892102335926,0.7478754171301445,1.0,0.992
l2_norm_all,40,0.6266416510318951,0.5467823639774859,0.7026641651031895,1.0,1.0
l2_norm_all,50,0.6304441776710683,0.6304441776710683,0.6304441776710683,1.0,1.0
params,10,0.47272727272727266,0.04242424242424241,0.7696969696969697,0.966,0.616
params,20,0.4586466165413533,0.22398496240601504,0.6647368421052631,1.0,0.65
params,30,0.4622914349276974,0.30186874304783096,0.6026918798665183,1.0,0.766
params,40,0.4721388367729832,0.37278611632270175,0.5527298311444653,1.0,0.884
params,50,0.4721728691476591,0.4721728691476591,0.4721728691476591,1.0,1.0
grasp_all,10,0.33333333333333326,-0.18848484848484845,0.7339393939393932,0.836,0.42
grasp_all,20,0.343609022556391,0.046541353383458654,0.6060150375939849,0.974,0.368
grasp_all,30,0.3359288097886541,0.16700778642936598,0.5374638487208008,1.0,0.302
grasp_all,40,0.3452157598499062,0.24079737335834903,0.4585553470919324,1.0,0.202
grasp_all,50,0.3468427370948379,0.3468427370948379,0.3468427370948379,1.0,0.0
zen,10,0.33333333333333326,-0.18848484848484845,0.6727272727272726,0.858,0.402
zen,20,0.3157894736842105,0.030075187969924807,0.5564661654135338,0.964,0.308
zen,30,0.33348164627363736,0.16418242491657395,0.4875417130144604,0.996,0.214
zen,40,0.3275797373358349,0.21402439024390246,0.4211444652908066,1.0,0.094
zen,50,0.32849939975990394,0.32849939975990394,0.32849939975990394,1.0,0.0
nwot,10,0.17575757575757575,-0.346060606060606,0.6363636363636362,0.682,0.25
nwot,20,0.16992481203007515,-0.13090225563909774,0.4558646616541351,0.816,0.094
nwot,30,0.16751946607341492,-0.03274749721913237,0.37014460511679625,0.922,0.02
nwot,40,0.17232645403377111,0.05435272045028143,0.28270168855534694,0.986,0.004
nwot,50,0.16821128451380551,0.16821128451380551,0.16821128451380551,1.0,0.0
snip_all,10,-0.23636363636363633,-0.746060606060606,0.34545454545454546,0.242,0.034
snip_all,20,-0.23458646616541348,-0.52796992481203,0.06180451127819534,0.1,0.0
snip_all,30,-0.27007786429365965,-0.45686318131256953,-0.054037819799777544,0.012,0.0
snip_all,40,-0.2536585365853659,-0.3872701688555348,-0.14409005628517843,0.0,0.0
snip_all,50,-0.25983193277310923,-0.25983193277310923,-0.25983193277310923,0.0,0.0
