proxy,spearman,rho_with_log_params,partial_params,partial_flops,rho_test_mae,rho_val_mse,tercile_small,tercile_small_n,tercile_mid,tercile_mid_n,tercile_large,tercile_large_n
zico,0.6520528211284513,0.790252100840336,0.5018487394957983,0.6506122448979592,0.5612004801920768,0.7177430972388955,0.2034313725490196,17,0.611764705882353,16,0.5686274509803922,17
l2_norm_all,0.6304441776710683,0.8417286914765906,0.5072268907563025,0.666938775510204,0.5640816326530612,0.6784633853541416,0.06862745098039216,17,0.4058823529411764,16,0.7058823529411765,17
params,0.4721728691476591,0.9999999999999999,,0.48523409363745496,0.4425930372148859,0.4979111644657863,0.10294117647058824,17,-0.008823529411764706,16,0.16666666666666669,17
grasp_all,0.3468427370948379,-0.07438175270108043,0.4069627851140456,0.34809123649459783,0.46055222088835535,-0.18012004801920767,0.24754901960784317,17,0.3529411764705882,16,0.6421568627450981,17
zen,0.32849939975990394,0.8873469387755102,-0.1987515006002401,0.32533013205282113,0.3160144057623049,0.39985594237695077,-0.13725490196078433,17,-0.2764705882352941,16,0.11519607843137256,17
nwot,0.16821128451380551,0.3358943577430972,-0.04211284513805522,0.25406962785114046,0.18348139255702278,0.1757983193277311,0.06127450980392158,17,-0.03823529411764706,16,-0.04166666666666667,17
flops,0.0563265306122449,0.1352701080432173,-0.027515006002400956,,0.06381752701080431,0.081968787515006,0.10049019607843139,17,-0.044117647058823525,16,-0.06862745098039216,17
synflow_all,-0.10914765906362545,0.1736854741896759,-0.21296518607442977,-0.18357743097238896,-0.1574549819927971,0.1528451380552221,-0.009803921568627453,17,-0.2058823529411765,16,-0.3382352941176471,17
jacov,-0.18482593037214884,0.12240096038415366,-0.28220888355342133,-0.2023049219687875,-0.17656662665066022,-0.15466986794717885,-0.007352941176470588,17,-0.3911764705882353,16,-0.18627450980392157,17
plain_all,-0.20797118847539015,0.18424969987995196,-0.3127490996398559,-0.21997599039615845,-0.33301320528211287,0.38785114045618246,-0.30637254901960786,17,-0.4294117647058823,16,-0.32352941176470595,17
grad_norm_all,-0.25262905162064825,0.28451380552220884,-0.4369267707082833,-0.25406962785114046,-0.36432172869147655,0.20950780312124848,-0.09803921568627452,17,-0.3941176470588235,16,-0.6495098039215687,17
snip_all,-0.25983193277310923,0.27202881152460984,-0.43807923169267704,-0.260984393757503,-0.3504921968787515,0.1407442977190876,-0.06617647058823531,17,-0.42352941176470593,16,-0.6053921568627452,17
fisher,-0.26837935174069627,0.25541416566626646,-0.4256902761104442,-0.2772148859543817,-0.42156062424969987,0.30650660264105645,-0.24264705882352944,17,-0.4588235294117647,16,-0.7230392156862746,17
