proxy,n50_spearman,n50_ci_lo,n50_ci_hi,n50_halfwidth,n300_spearman,n300_ci_lo,n300_ci_hi,n300_halfwidth,n50_inside_large_ci,large_inside_n50_ci
nwot,0.1682112845138055,-0.1419623553869921,0.4364859556777543,0.2892241555323732,0.3389317659085101,0.240451123105331,0.4300847238465677,0.09481680037061835,False,True
zico,0.6520528211284513,0.4514187296163465,0.7801451416129097,0.1643632059982816,0.5704507827864753,0.4800313972550435,0.6499099892852174,0.08493929601508693,False,True
synflow_all,-0.1091476590636254,-0.4135900793561295,0.1847077460797987,0.2991489127179641,0.1890216557961755,0.0760013274678823,0.3017308310380748,0.11286475178509625,False,False
snip_all,-0.2598319327731092,-0.5150308311695171,0.0352638888309338,0.27514736000022544,-0.136258402871143,-0.2445362710216355,-0.0244733823395413,0.1100314443410471,False,True
grad_norm_all,-0.2526290516206482,-0.505435816958286,0.0226233972600792,0.2640296071091826,-0.1264236269291881,-0.232923802977634,-0.0121928169940392,0.11036549299179739,False,True
grasp_all,0.3468427370948379,0.0665133381114348,0.571171878757274,0.25232927032291963,0.172063689596551,0.0576139981977432,0.2776556446253172,0.110020823213787,False,True
plain_all,-0.2079711884753901,-0.4549146785561174,0.0704826002396518,0.2626986393978846,-0.0918667985199835,-0.2011733060676223,0.0225032652684807,0.1118382856680515,False,True
fisher,-0.2683793517406962,-0.5105112343393325,0.0115469169120881,0.2610290756257103,-0.0846840520450227,-0.191644224984924,0.0265787026134663,0.10911146379919515,False,True
jacov,-0.1848259303721488,-0.4254653431996358,0.1012795827304822,0.263372462965059,-0.2853209480105334,-0.3901514290282247,-0.175600578980046,0.10727542502408935,True,True
zen,0.3284993997599039,0.0451976966340334,0.5466886093449925,0.25074545635547957,0.1175799731108123,0.0042961299942587,0.2369566689898012,0.11633026949777124,False,True
l2_norm_all,0.6304441776710683,0.4047789665290746,0.783095181162441,0.18915810731668323,0.5034527050300559,0.4082513837532048,0.589284971661746,0.09051679395427059,False,True
params,0.4721728691476591,0.2321743896889932,0.6505473394362027,0.20918647487360476,0.1933314814609051,0.0781117128579154,0.3056901554197602,0.11378922128092239,False,False
flops,0.0563265306122449,-0.2507152186085756,0.3441007594159662,0.2974079890122709,0.3115599062211802,0.2062007619646758,0.4069304276101174,0.1003648328227208,False,True
